ID ,经度/°,纬度/°,海拔高/m,观测重力/mGal
1,114.35096,30.53628,29,979351.7164
2,114.3511,30.53805,29,979351.4819
3,114.35101,30.54026,27,979352.0198
4,114.35131,30.54168,28,979349.1636
5,114.35104,30.5446,29,979351.8884
6,114.35076,30.546,31,979351.1948
7,114.35278,30.54611,38,979351.099
8,114.35333,30.54417,39,979351.7378
9,114.35333,30.54194,33,979351.261
10,114.35306,30.54028,31,979351.6824
11,114.35278,30.53806,34,979351.1271
12,114.3530556,30.53583333,31,979351.2559
13,114.3533333,30.53333333,36,979351.1783
14,114.3552778,30.53416667,34,979351.2283
15,114.3552778,30.53583333,32,979351.4271
16,114.3555556,30.53777778,35,979350.58
17,114.3555556,30.54,40,979350.2413
18,114.3555556,30.54194444,54,979344.8834
19,114.3555556,30.54416667,37,979350.8408
20,114.3555556,30.54583333,40,979351.6132
21,114.3577778,30.53416667,42,979354.2823
22,114.3577778,30.53583333,47,979353.3772
23,114.3583333,30.53777778,51,979353.4123
24,114.3580556,30.53972222,45,979354.3513
25,114.3580556,30.54194444,66,979350.5467
26,114.3580556,30.54388889,46,979354.1399
27,114.3580556,30.54583333,36,979356.0297
28,114.360448,30.53429,44.8,979348.9159
29,114.359758,30.536084,69.5,979343.1955
30,114.360577,30.537866,63.2,979342.491
31,114.360359,30.540071,49.2,979345.9425
32,114.360312,30.542017,50.3,979345.2933
33,114.360401,30.544108,43.7,979348.0185
34,114.360833,30.546386,35.2,979350.9499
35,114.362539,30.533835,43,979350.4729
36,114.362532,30.535892,75,979342.6418
37,114.362954,30.537857,92,979342.2759
38,114.362816,30.539984,58,979344.5033
39,114.362784,30.541968,52,979346.4037
40,114.362703,30.543998,42,979350.0473
41,114.362818,30.546161,29,979352.6477
42,114.364918,30.535906,95,979342.3759
43,114.365075,30.537862,88,979342.3966
44,114.365015,30.539881,52,979347.5509
45,114.364997,30.542047,33,979350.8857
46,114.365054,30.543972,35,979350.5378
47,114.36513,30.545701,32,979352.5035
48,114.3675,30.535833,41,979347.6733
49,114.3675,30.536944,101,979331.8415
50,114.366944,30.54,41,979349.2569
51,114.3675,30.541389,35,979349.7772
52,114.366389,30.543889,31,979350.2892
